cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	cluster_size	NSF_marker_count	NSForest_markers	binary_genes	donor_composition	donor_composition_alert_0.90	library_composition_alert_0.95	library_composition_over0.01	dominant_library_percentage	dominant_library_info	roi_composition	roi_composition_alert_0.95	cluster_median_level1.class_scANVI_AIT11.6_round1_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round1_entropy	cluster_median_level1.class_scANVI_AIT11.6_round2_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round2_entropy	cluster_median_level3.subclass_scANVI_AIT11.6_round2_entropy	cluster_median_doublet_score	cluster_median_pct_counts_mt	gene_counts	umi_counts	umi_gene_ratio
AIT117_1	IN_1		AIT117_313	SN STH GABA	cluster							95	4	['SST', 'RMST', 'GRIK1', 'TCF7L2']	['SST', 'RMST', 'AC108169.1', 'GRIK1', 'HMGCS1', 'TCF7L2', 'LRRC3B', 'AC008415.1', 'AC013287.1', 'TSHZ2']	H20.30.002(0.9474)| H23.30.001(0.0316)| H20.30.001(0.0211)| H18.30.001(0.0)| H19.30.004(0.0)	Cautious	Balanced	1458_A09 (0.9053)|1169_A01 (0.0421)|2058_C03 (0.0105)|2012_B05 (0.0105)|1001_A06 (0.0105)|1233_A02 (0.0105)|2016_A03 (0.0105)	0.9053	1458_A09 (0.9053)|a total of 1490 cells in this dominant library	STH(0.9474)| SN(0.0211)| GPi(0.0211)| SN-VTA(0.0105)| CaT(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| GPe(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0.64	0	0.5	0.5	0.0267	0.4436	3298	6619	2.01
AIT117_2	IN_2		AIT117_314	SN STH VTA Glut	cluster							167	2	['SHOX2', 'LHX9']	['SHOX2', 'SHOX', 'LHX9', 'AC016766.1', 'LHX2', 'ADCYAP1', 'AL591463.1', 'AL161629.1', 'AL122014.1', 'AC113414.1']	H20.30.002(0.9521)| H19.30.004(0.0299)| H23.30.001(0.012)| H18.30.001(0.006)| H20.30.001(0.0)	Cautious	Balanced	1458_A09 (0.8683)|1169_A01 (0.0838)|1468_A09 (0.0299)	0.8683	1458_A09 (0.8683)|a total of 1490 cells in this dominant library	STH(0.988)| SN(0.006)| GPi(0.006)| CaT(0.0)| GPe(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.16	0.4314	9155	50906	5.56
AIT117_3	IN_3		AIT117_314	SN STH VTA Glut	cluster							112	2	['LINC02347', 'SIM1']	['DAPL1', 'LINC02196', 'LINC02347', 'SIM1', 'CPNE9', 'ADCYAP1', 'LHX1-DT', 'AC018467.1', 'DDX60L', 'HTR7']	H23.30.001(0.625)| H20.30.002(0.3036)| H19.30.004(0.0625)| H20.30.001(0.0089)| H18.30.001(0.0)	Balanced	Balanced	2058_C03 (0.5268)|1169_A01 (0.1786)|1458_A09 (0.1250)|2058_B03 (0.0714)|1468_A09 (0.0625)|2013_C01 (0.0179)	0.5268	2058_C03 (0.5268)|a total of 4967 cells in this dominant library	SN(0.5268)| STH(0.4375)| CaB(0.0179)| GPi(0.0179)| GPe(0.0)| CaT(0.0)| CaH(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.09	0.2447	6828.5	25948	3.8
AIT117_4	IN_4		AIT117_314	SN STH VTA Glut	cluster							130	3	['AL158154.3', 'AL356488.2', 'SLC26A3']	['AL158154.3', 'AL356488.2', 'C5orf63', 'SLC26A3', 'LINC00893', 'AL031658.1', 'TTF2', 'AC105402.3', 'MT-ATP8', 'PLP1']	H23.30.001(0.9308)| H20.30.002(0.0462)| H19.30.004(0.0154)| H20.30.001(0.0077)| H18.30.001(0.0)	Cautious	Balanced	2058_C03 (0.6154)|2058_B03 (0.2154)|2013_B01 (0.0385)|2012_B05 (0.0308)|2016_A03 (0.0231)|1169_A01 (0.0231)|1458_A09 (0.0231)|1468_A09 (0.0154)	0.6154	2058_C03 (0.6154)|a total of 4967 cells in this dominant library	SN(0.6154)| STH(0.2769)| GPi(0.1077)| CaT(0.0)| GPe(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0.12	0.12	0.084	0.6749	4958	12160.5	2.45
AIT117_6	IN_6		AIT117_315	STR Cholinergic GABA	cluster							97	2	['HDC', 'PPP1R1C']	['HDC', 'MIR3663HG', 'SLC18A2', 'QRFPR', 'RSPO2', 'PPP1R1C', 'NEB', 'LINC01776', 'MCTP2', 'MEGF11']	H23.30.001(0.8969)| H19.30.004(0.1031)| H18.30.001(0.0)| H20.30.001(0.0)| H20.30.002(0.0)	Balanced	Balanced	2058_C03 (0.8969)|1468_A09 (0.1031)	0.8969	2058_C03 (0.8969)|a total of 4967 cells in this dominant library	SN(0.8969)| STH(0.1031)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| CaH(0.0)| CaT(0.0)| GPi(0.0)| GPeR(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.16	0.0732	6919	25134	3.63
AIT117_7	IN_7		AIT117_316	NDB SI LHX8 GABA	cluster							67	3	['MAP3K15', 'MBNL3', 'DLK1']	['GAL', 'MAP3K15', 'AC127526.2', 'MBNL3', 'DLK1', 'HMX3', 'AC010478.1', 'PGR-AS1', 'ECEL1', 'ISL1']	H23.30.001(0.9254)| H20.30.001(0.0597)| H19.30.004(0.0149)| H18.30.001(0.0)| H20.30.002(0.0)	Cautious	Balanced	2058_C03 (0.4478)|2058_B03 (0.3134)|2013_B01 (0.1642)|960_B03 (0.0448)|1468_A09 (0.0149)|1482_A03 (0.0149)	0.4478	2058_C03 (0.4478)|a total of 4967 cells in this dominant library	SN(0.4478)| STH(0.3284)| GPi(0.1791)| GPeR(0.0448)| CaH(0.0)| CaT(0.0)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0.69	0	0.76	0.76	0.0897	0.0563	9171	75788	8.26
AIT117_8	IN_8		AIT117_317	SN STH PVALB PITX2 Glut	cluster							506	3	['NTS', 'PVALB', 'LGALS1']	['CCN3', 'NTS', 'PVALB', 'PITX2', 'LGALS1', 'LMX1A', 'TTC6', 'BTNL9', 'GRB14', 'TRPC3']	H20.30.002(0.9862)| H19.30.004(0.0079)| H23.30.001(0.004)| H20.30.001(0.002)| H18.30.001(0.0)	Cautious	Balanced	1169_A01 (0.9289)|1458_A09 (0.0573)	0.9289	1169_A01 (0.9289)|a total of 7392 cells in this dominant library	STH(0.9941)| GPi(0.0059)| CaH(0.0)| CaT(0.0)| GPe(0.0)| GPeC(0.0)| CaB(0.0)| GPeR(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.06	0.235	6666.5	26559.5	3.98
AIT117_9	IN_9		AIT117_314	SN STH VTA Glut	cluster							191	2	['NTS', 'EBF3']	['LINC01482', 'FAM20A', 'EBF2', 'AC009975.1', 'NTS', 'EBF3', 'PITX2', 'ADCYAP1', 'NTNG2', 'AL592156.2']	H20.30.002(0.5654)| H19.30.004(0.288)| H23.30.001(0.1414)| H18.30.001(0.0052)| H20.30.001(0.0)	Balanced	Balanced	1169_A01 (0.5026)|1468_A09 (0.2880)|1458_A09 (0.0628)|2058_B03 (0.0576)|2058_C03 (0.0366)|2012_B05 (0.0314)|2016_A03 (0.0105)	0.5026	1169_A01 (0.5026)|a total of 7392 cells in this dominant library	STH(0.911)| GPi(0.0471)| SN(0.0419)| CaT(0.0)| GPe(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.1373	0.1796	6528	25990	3.98
AIT117_10	IN_10		AIT117_317	SN STH PVALB PITX2 Glut	cluster							302	3	['LMX1A', 'MCHR2', 'RORB']	['NTS', 'PITX2', 'LMX1A', 'LINC01435', 'MCHR2', 'RORB', 'NDST4', 'LINC00299', 'KCNMB2', 'KCNMB2-AS1']	H20.30.002(0.9205)| H19.30.004(0.0364)| H23.30.001(0.0232)| H18.30.001(0.0199)| H20.30.001(0.0)	Cautious	Balanced	1169_A01 (0.8974)|1468_A09 (0.0331)|1458_A09 (0.0232)|925_F03 (0.0199)	0.8974	1169_A01 (0.8974)|a total of 7392 cells in this dominant library	STH(0.9669)| SN(0.0232)| GPi(0.0099)| CaT(0.0)| GPe(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.07	0.3079	6153	24035.5	3.91
AIT117_11	IN_11		AIT117_317	SN STH PVALB PITX2 Glut	cluster							897	3	['NDNF', 'PITX2', 'LMX1A']	['NDNF', 'NTS', 'PITX2', 'AL359915.1', 'LMX1A', 'CDH23', 'TTC6', 'KCNMB2', 'KLHL1', 'RASGEF1B']	H20.30.002(0.932)| H23.30.001(0.0658)| H18.30.001(0.0022)| H20.30.001(0.0)| H19.30.004(0.0)	Cautious	Balanced	1169_A01 (0.9264)|2058_C03 (0.0334)|2058_B03 (0.0234)	0.9264	1169_A01 (0.9264)|a total of 7392 cells in this dominant library	STH(0.9554)| SN(0.0357)| GPi(0.0078)| GPe(0.0011)| CaH(0.0)| CaT(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.08	0.2176	6245	27995	4.48
